Functional Size,Adjusted Function Points,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Speed of Delivery,Project Elapsed Time,Effort Unphased,Resource Level,Max Team Size,Input count,Added count,Count_Approach_COSMIC,Count_Approach_IFPUG,Count_Approach_NESMA,Count_Approach_OTHER,Development_Type_Enhancement,Development_Type_New Development,Development_Type_Re-development,Architecture_Client server,Architecture_Multi-tier,Architecture_Stand alone,Functional_Size_Technique_Other,Functional_Size_Technique_Supported by a tool,Functional_Size_Technique_Wholly manual,FP_Standard_All_COSMIC,FP_Standard_All_IFPUG,FP_Standard_All_Other,Language_Type_1GL,Language_Type_3GL,Language_Type_4GL,Client_Server_Used,Development_Platform_MF,Development_Platform_MR,Development_Platform_Multi,Development_Platform_PC,Case_Tool_Used_Yes,How_Methodology_Acquired_Combined Developed/Purchased,How_Methodology_Acquired_Developed Inhouse,How_Methodology_Acquired_Traditional,Used_Methodology_Yes,Normalised Work Effort Level 1,Value Adjustment Factor,Defect Density
6,6,36,36,6,6,6,10.42982107,0.2,36,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,36,1.021941545,0
441,441,454,454,1,1,1,15.8,7,14,1,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,454,1,11.3
335,298,2409,2409,7.2,7.2,8.1,4.7,6,0,1,12,82.94,334.82,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,2409,0.89,0
112,101,406,406,3.6,3.6,4,14,8,406,1,1,16,112,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,406,0.9,8.9
195,193,1717,1717,15.99293785,8.8,8.9,10.8,3,2853.309172,4,6,48,195,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,5316.463277,0.99,10.3
144,99,558,558,0.2,3.9,5.6,9,4,34,4,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,34,0.69,0
32,23,1543,1543,48.2,48.2,67.1,1.3,6,253,1,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1543,0.73,0
101,76,1042,1042,15.99293785,10.3,13.7,10.42982107,4,2853.309172,4,9.761262136,15,101,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,5316.463277,0.75,99
324,324,5499,5499,17,17,17,2.7,10,5499,1,12,101,324,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,5499,1,0
454,454,5144,5144,11.7,11.3,11.3,10.42982107,8.957260274,2853.309172,4,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,5308,1.021941545,0
25,25,358,358,14.3,14.3,14.3,10.42982107,2,358,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,358,1.021941545,80
182,180,700,700,15.99293785,3.8,3.9,36.4,5,2853.309172,2,1,74,153,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,5316.463277,0.99,11
287,287,10157,10157,35.4,35.4,35.4,10.42982107,27.6,10157,1,9.761262136,94,29,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,10157,1,0
194,194,3934,3934,15.99293785,20.3,20.3,4,7,2853.309172,4,7,56,194,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,5316.463277,1.021941545,20.6
838,838,2678,2678,3.2,3.2,3.2,8.4,20,0,1,5,836,836,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2678,1.021941545,1.2
279,279,385,385,1.4,1.4,1.4,139.5,2,385,4,1,279,279,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,385,1.021941545,3.6
35,35,2031,1828,52.2,58,52.2,0.6,18,1243,1,3,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1828,1.01,57.1
198,198,1085,1085,5.5,5.5,5.5,16.5,4,185,1,3,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1085,1,55.6
95,95,1044,1044,11,11,11,1.9,10,1044,1,5,9,95,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1044,1,10.5
279,258,1568,1568,5.6,5.6,6.1,23.3,3,1568,1,4,125,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1568,0.92,3.6
6,6,200,180,30,33.3,30,0.5,6,139,1,2,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,180,1,0
1052,1052,39104,39104,7.5,37.2,37.2,1.7,12,7887,4,52,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,7887,1,0
397,496,1547,1547,3.9,3.9,3.1,8.8,9,1547,4,5,33.06,40.76,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1547,1.021941545,0
157,162,1754,1754,11.2,11.2,10.8,4.9,8,0,1,4,64,157,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1754,1.03,57.3
696,696,6023,6023,8.7,8.7,8.7,5.4,13,6023,1,10,335,305,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,6023,1.021941545,15.8
515,546,8114,8114,0.6,15.8,14.9,4.6,16,302,4,7,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,302,1.06,0
2480,2406,11700,11700,4.3,4.7,4.9,10.42982107,12,10600,4,9.761262136,0,2480,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,10600,0.97,8.1
538,699,8060,8060,15,15,11.5,10.42982107,12,8060,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,8060,1.3,0
201,201,1744,1430,8.7,8.7,7.1,10.42982107,8.957260274,0,1,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1744,1.021941545,373.1
119,155,7150,7150,60.1,60.1,46.1,10.42982107,12,7150,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,7150,1.3,0
331,397,8176,8176,24.7,24.7,20.6,3.2,17,1633,1,6,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,8176,1.2,0
42,42,300,192,4.6,7.1,4.6,10.42982107,2,192,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,192,1.021941545,23.8
777,777,7119,7119,9.2,9.2,9.2,7.8,20,7119,1,5,210,777,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,7119,1,16.7
456,529,21684,14528,33.7,47.6,27.5,6.9,6,0,4,11,118,456,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,15353,1.16,0
1233,1233,20041,20041,16.3,16.3,16.3,4.3,9,9456,1,32,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,20041,1,7.3
180,194,4027,3624,20.1,22.4,18.7,7.2,5,3250,1,5,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,3624,1.08,0
259,259,8963,8963,34.6,34.6,34.6,1.4,20,8963,1,9,21,259,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,8963,1.021941545,3.9
91,91,1467,939,10.3,16.1,10.3,10.42982107,2,939,1,9.761262136,166.04545,341.2215103,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,939,1.021941545,0
335,342,2028,2028,0.7,6.1,5.9,6,8,218,4,7,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,218,1.02,0
265,286,1464,1464,5.5,5.5,5.1,5.5,6,0,1,8,45,265,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1464,1.08,18.9
28,28,279,279,10,10,10,2.2,4.3,0,1,3,166.04545,8,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,279,1.021941545,35.7
367,367,2930,2930,8,8,8,5.1,12,2930,1,6,116,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,2930,1.021941545,5.4
292,292,6680,6680,22.9,22.9,22.9,3.7,20,110,1,4,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,6680,1,222.6
159,159,1704,1704,15.99293785,10.7,10.7,5.3,6,2853.309172,4,5,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,5316.463277,1,0
144,144,809,809,5.6,5.6,5.6,9.6,5,809,1,3,49,16,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,809,1,34.7
393,393,6660,6660,16.9,16.9,16.9,3.3,10,300,1,12,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,6660,1,0
474,374,5673,5106,0.7,12,13.7,2.8,9,310,4,19,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,310,0.79,0
1239,1177,11514,11514,15.99293785,9.3,9.8,10.42982107,4,2853.309172,4,9.761262136,54,1239,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,5316.463277,0.95,3.2
113,113,6710,6710,59.4,59.4,59.4,1.2,12,6710,1,8,42,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,6710,1,0
615,738,2786,2786,4.5,4.5,3.8,5.9,7,0,1,15,269,615,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2786,1.2,4.9
171,171,2402,1537,9,14,9,10.42982107,3,1537,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1537,1.021941545,5.8
114,128,1860,1860,16.3,16.3,14.5,10.42982107,6,1860,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1860,1.12,0
221,221,843,624,2.8,3.8,2.8,24.6,3,1,1,3,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,624,1,285.1
1606,1606,17230,17230,10.7,10.7,10.7,7.2,7,10506,1,32,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,17230,1,2.5
91,91,741,474,5.2,8.1,5.2,10.42982107,1,474,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,474,1.021941545,44
71,89,2221,2221,30.4,31.3,25,10.42982107,5,0,4,9.761262136,30,19,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2161,1.25,0
135,119,700,700,5.2,5.2,5.9,10.42982107,8.957260274,700,1,9.761262136,41,135,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,700,0.88,37
184,202,2752,2752,15,15,13.6,7.5,3.5,0,1,7,52,22,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,2752,1.1,81.5
303,303,3475,2224,7.3,11.5,7.3,10.42982107,4,2224,1,9.761262136,166.04545,341.2215103,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,2224,1.021941545,16.5
292,283,5650,5650,19.3,19.3,20,10.42982107,13,5650,1,9.761262136,20,292,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,5650,0.97,10.3
334,334,2648,2648,7.9,7.9,7.9,4.6,9,2648,1,8,171,255,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,2648,1.021941545,47.9
1670,1670,10206,10206,3.5,6.1,6.1,4.6,19,5906,4,19,1670,1670,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,5906,1.021941545,1.8
4,4,24,24,6,6,6,10.42982107,0.3,24,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,24,1.021941545,0
160,160,1900,1216,7.6,11.9,7.6,10.42982107,6,1216,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1216,1.021941545,31.3
615,713,4396,3253,7.1,7.1,4.6,10.42982107,6.9,3253,1,9.761262136,137,220,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,4396,1.16,14.6
72,72,418,418,5.8,5.8,5.8,10.42982107,2.1,418,1,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,418,1.021941545,27.8
644,799,4839,4500,7,7.5,5.6,11.7,11,0,1,5,300,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,4500,1.24,48.1
184,201,1830,1830,9.9,9.9,9.1,8.5,3.6,1830,1,6,81,86,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1830,1.09,0
575,610,950,950,1.7,1.7,1.6,63.9,3,950,1,3,137,575,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,950,1.06,5.2
13,13,146,146,11.2,11.2,11.2,10.42982107,0.8,146,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,146,1.021941545,0
268,322,4915,3981,18.3,18.3,12.4,10.42982107,17,0,1,9.761262136,128,121,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,4915,1.2,3.7
