Normalised Work Effort Level 1,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),,Speed of Delivery,Project Elapsed Time,Effort Unphased,Resource Level,Max Team Size,Input count,Added count,Count_Approach_COSMIC,Count_Approach_IFPUG,Count_Approach_NESMA,Count_Approach_OTHER,Development_Type_Enhancement,Development_Type_New Development,Development_Type_Re-development,Architecture_Client server,Architecture_Multi-tier,Architecture_Stand alone,Functional_Size_Technique_Other,Functional_Size_Technique_Supported by a tool,Functional_Size_Technique_Wholly manual,FP_Standard_All_COSMIC,FP_Standard_All_IFPUG,FP_Standard_All_Other,Language_Type_1GL,Language_Type_3GL,Language_Type_4GL,Client_Server_Used,Development_Platform_MF,Development_Platform_MR,Development_Platform_Multi,Development_Platform_PC,Case_Tool_Used_Yes,How_Methodology_Acquired_Combined Developed/Purchased,How_Methodology_Acquired_Developed Inhouse,How_Methodology_Acquired_Traditional,Used_Methodology_Yes,,Defect Density
571,191,1.021941545,571,737,737,3,3.9,3.9,,19.1,2,0,4,5,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,,0
5316.463277,303,1.04,5316.463277,3570,3570,15.99293785,12.2,11.8,,8.1,12,2853.309172,2,3,67.86,297.24,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,,24
4787,3625,0.87,4787,11934,11934,1.1,2.9,3.3,,24.5,17,0,4,10,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,,3.1
5377,304,1.021941545,5377,5377,5377,17.7,17.7,17.7,,3.8,10,5377,1,8,59,81,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,,36.2
1485,132,1,1485,1485,1485,11.3,11.3,11.3,,3.7,12,1485,1,3,57,95,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,,15.2
1076,811,1.021941545,1076,1681,1076,1.3,2.1,1.3,,10.42982107,2,1076,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,2.5
5316.463277,29,0.7,5316.463277,932,932,15.99293785,22.2,32.1,,10.42982107,8.957260274,2853.309172,4,4,0,42,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,,47.6
686,28,1,686,686,686,24.5,24.5,24.5,,1.8,4,92,1,4,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,,142.9
2049,76,1.23,2049,2049,1680,33,33,22.1,,10.42982107,8.957260274,0,1,2,29,62,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,,0
2204,249,1,2204,2204,2204,8.9,8.9,8.9,,1.8,15,2204,1,9,156,249,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,,0
675,55,1.021941545,675,740,740,12.3,13.5,13.5,,5.5,5,0,4,2,55,55,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,,72.7
2779,171,1.021941545,2779,4342,2779,16.3,25.4,16.3,,10.42982107,4,2779,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,5.8
1235,387,1,1235,1235,1235,3.2,3.2,3.2,,19.4,5,35,1,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,,28.4
40,11,1.021941545,40,40,40,3.6,3.6,3.6,,11,0.5,40,1,2,166.04545,11,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,0
911,263,1.021941545,911,911,911,3.5,3.5,3.5,,8.8,3,911,1,10,65,176,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,,0
1171,190,0.94,1171,1171,1171,5.8,5.8,6.2,,4,10,1171,1,5,98,160,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,34.7
5316.463277,294,1.08,5316.463277,1248,1248,15.99293785,4.6,4.2,,10.42982107,7,2853.309172,4,9.761262136,42,272,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,,99.3
1644,474,1,1644,1644,1644,3.5,3.5,3.5,,13.5,7,50,1,5,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,,4.2
174,142,0.95,174,193,174,1.2,1.3,1.2,,12.4,2,119,1,6,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,,0
24,4,1.021941545,24,24,24,6,6,6,,4,0.5,24,1,2,166.04545,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,0
5900,395,0.99,5900,5900,5900,14.8,14.8,14.9,,5.7,14,0,1,5,94,399,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,,32.6
2877,228,1.021941545,2877,2877,2877,12.6,12.6,12.6,,6.3,4,2877,1,9,77,228,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,,4.4
10670,455,1,10670,10670,10670,23.5,23.5,23.5,,3.8,20,180,1,6,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,,164.8
3746,199,1,3746,3746,3746,18.8,18.8,18.8,,3.2,9,3746,1,7,68,171,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,,15.1
278,58,1.021941545,278,278,278,4.8,4.8,4.8,,10.42982107,2,278,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,,51.7
3430,270,1.021941545,3430,3430,3430,12.7,12.7,12.7,,5.4,10,3430,1,5,114,270,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,,3.7
1146,161,1,1146,1146,1146,7.1,7.1,7.1,,8.1,5,1146,1,4,88,18,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,,31.1
486,100,1.021941545,486,552,552,4.9,5.5,5.5,,11.8,1.7,2853.309172,4,5,166.04545,341.2215103,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,0
344,46,0.87,344,344,344,6.5,6.5,7.5,,10.42982107,6,344,1,9.761262136,0,28,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,,0
1028,55,1.021941545,1028,1606,1028,18.7,29.2,18.7,,10.42982107,1,1028,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,0
4544,733,1,4544,4544,4544,6.2,6.2,6.2,,11.3,13,4544,1,5,341,733,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,,0
410,82,1.021941545,410,410,410,5,5,5,,10.42982107,3,410,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,,12.2
5316.463277,244,1,5316.463277,191,191,15.99293785,0.8,0.8,,34.9,7,2853.309172,4,1,68,244,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,,16.4
1746,357,0.8,1746,1746,1746,3.9,3.9,4.9,,10.42982107,15,1746,1,9.761262136,114,446,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,,0
36,6,1.021941545,36,36,36,6,6,6,,10.42982107,0.2,36,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,,0
454,441,1,454,454,454,1,1,1,,15.8,7,14,1,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,,11.3
2409,298,0.89,2409,2409,2409,7.2,7.2,8.1,,4.7,6,0,1,12,82.94,334.82,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,,0
406,101,0.9,406,406,406,3.6,3.6,4,,14,8,406,1,1,16,112,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,8.9
5316.463277,193,0.99,5316.463277,1717,1717,15.99293785,8.8,8.9,,10.8,3,2853.309172,4,6,48,195,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,,10.3
34,99,0.69,34,558,558,0.2,3.9,5.6,,9,4,34,4,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,0
1543,23,0.73,1543,1543,1543,48.2,48.2,67.1,,1.3,6,253,1,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,0
5316.463277,76,0.75,5316.463277,1042,1042,15.99293785,10.3,13.7,,10.42982107,4,2853.309172,4,9.761262136,15,101,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,,99
5499,324,1,5499,5499,5499,17,17,17,,2.7,10,5499,1,12,101,324,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,0
5308,454,1.021941545,5308,5144,5144,11.7,11.3,11.3,,10.42982107,8.957260274,2853.309172,4,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,,0
358,25,1.021941545,358,358,358,14.3,14.3,14.3,,10.42982107,2,358,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,,80
5316.463277,180,0.99,5316.463277,700,700,15.99293785,3.8,3.9,,36.4,5,2853.309172,2,1,74,153,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,,11
10157,287,1,10157,10157,10157,35.4,35.4,35.4,,10.42982107,27.6,10157,1,9.761262136,94,29,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,,0
5316.463277,194,1.021941545,5316.463277,3934,3934,15.99293785,20.3,20.3,,4,7,2853.309172,4,7,56,194,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,,20.6
2678,838,1.021941545,2678,2678,2678,3.2,3.2,3.2,,8.4,20,0,1,5,836,836,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,,1.2
385,279,1.021941545,385,385,385,1.4,1.4,1.4,,139.5,2,385,4,1,279,279,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,,3.6
1828,35,1.01,1828,2031,1828,52.2,58,52.2,,0.6,18,1243,1,3,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,,57.1
1085,198,1,1085,1085,1085,5.5,5.5,5.5,,16.5,4,185,1,3,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,,55.6
1044,95,1,1044,1044,1044,11,11,11,,1.9,10,1044,1,5,9,95,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,,10.5
1568,258,0.92,1568,1568,1568,5.6,5.6,6.1,,23.3,3,1568,1,4,125,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,,3.6
180,6,1,180,200,180,30,33.3,30,,0.5,6,139,1,2,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,,0
7887,1052,1,7887,39104,39104,7.5,37.2,37.2,,1.7,12,7887,4,52,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,,0
1547,496,1.021941545,1547,1547,1547,3.9,3.9,3.1,,8.8,9,1547,4,5,33.06,40.76,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,0
1754,162,1.03,1754,1754,1754,11.2,11.2,10.8,,4.9,8,0,1,4,64,157,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,,57.3
6023,696,1.021941545,6023,6023,6023,8.7,8.7,8.7,,5.4,13,6023,1,10,335,305,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,,15.8
302,546,1.06,302,8114,8114,0.6,15.8,14.9,,4.6,16,302,4,7,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,,0
10600,2406,0.97,10600,11700,11700,4.3,4.7,4.9,,10.42982107,12,10600,4,9.761262136,0,2480,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,,8.1
8060,699,1.3,8060,8060,8060,15,15,11.5,,10.42982107,12,8060,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,,0
1744,201,1.021941545,1744,1744,1430,8.7,8.7,7.1,,10.42982107,8.957260274,0,1,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,,373.1
7150,155,1.3,7150,7150,7150,60.1,60.1,46.1,,10.42982107,12,7150,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,,0
8176,397,1.2,8176,8176,8176,24.7,24.7,20.6,,3.2,17,1633,1,6,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,0
192,42,1.021941545,192,300,192,4.6,7.1,4.6,,10.42982107,2,192,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,,23.8
7119,777,1,7119,7119,7119,9.2,9.2,9.2,,7.8,20,7119,1,5,210,777,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,,16.7
15353,529,1.16,15353,21684,14528,33.7,47.6,27.5,,6.9,6,0,4,11,118,456,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,,0
20041,1233,1,20041,20041,20041,16.3,16.3,16.3,,4.3,9,9456,1,32,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,,7.3
3624,194,1.08,3624,4027,3624,20.1,22.4,18.7,,7.2,5,3250,1,5,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,,0
8963,259,1.021941545,8963,8963,8963,34.6,34.6,34.6,,1.4,20,8963,1,9,21,259,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,,3.9
939,91,1.021941545,939,1467,939,10.3,16.1,10.3,,10.42982107,2,939,1,9.761262136,166.04545,341.2215103,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,,0
218,342,1.02,218,2028,2028,0.7,6.1,5.9,,6,8,218,4,7,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,,0
1464,286,1.08,1464,1464,1464,5.5,5.5,5.1,,5.5,6,0,1,8,45,265,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,,18.9
279,28,1.021941545,279,279,279,10,10,10,,2.2,4.3,0,1,3,166.04545,8,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,,35.7
2930,367,1.021941545,2930,2930,2930,8,8,8,,5.1,12,2930,1,6,116,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,,5.4
6680,292,1,6680,6680,6680,22.9,22.9,22.9,,3.7,20,110,1,4,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,,222.6
5316.463277,159,1,5316.463277,1704,1704,15.99293785,10.7,10.7,,5.3,6,2853.309172,4,5,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,,0
809,144,1,809,809,809,5.6,5.6,5.6,,9.6,5,809,1,3,49,16,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,34.7
6660,393,1,6660,6660,6660,16.9,16.9,16.9,,3.3,10,300,1,12,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,,0
310,374,0.79,310,5673,5106,0.7,12,13.7,,2.8,9,310,4,19,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,0
5316.463277,1177,0.95,5316.463277,11514,11514,15.99293785,9.3,9.8,,10.42982107,4,2853.309172,4,9.761262136,54,1239,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,,3.2
6710,113,1,6710,6710,6710,59.4,59.4,59.4,,1.2,12,6710,1,8,42,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,,0
2786,738,1.2,2786,2786,2786,4.5,4.5,3.8,,5.9,7,0,1,15,269,615,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,,4.9
1537,171,1.021941545,1537,2402,1537,9,14,9,,10.42982107,3,1537,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,5.8
1860,128,1.12,1860,1860,1860,16.3,16.3,14.5,,10.42982107,6,1860,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,,0
624,221,1,624,843,624,2.8,3.8,2.8,,24.6,3,1,1,3,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,,285.1
17230,1606,1,17230,17230,17230,10.7,10.7,10.7,,7.2,7,10506,1,32,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,,2.5
474,91,1.021941545,474,741,474,5.2,8.1,5.2,,10.42982107,1,474,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,,44
2161,89,1.25,2161,2221,2221,30.4,31.3,25,,10.42982107,5,0,4,9.761262136,30,19,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,,0
700,119,0.88,700,700,700,5.2,5.2,5.9,,10.42982107,8.957260274,700,1,9.761262136,41,135,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,,37
2752,202,1.1,2752,2752,2752,15,15,13.6,,7.5,3.5,0,1,7,52,22,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,,81.5
2224,303,1.021941545,2224,3475,2224,7.3,11.5,7.3,,10.42982107,4,2224,1,9.761262136,166.04545,341.2215103,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,,16.5
5650,283,0.97,5650,5650,5650,19.3,19.3,20,,10.42982107,13,5650,1,9.761262136,20,292,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,10.3
2648,334,1.021941545,2648,2648,2648,7.9,7.9,7.9,,4.6,9,2648,1,8,171,255,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,,47.9
5906,1670,1.021941545,5906,10206,10206,3.5,6.1,6.1,,4.6,19,5906,4,19,1670,1670,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,,1.8
24,4,1.021941545,24,24,24,6,6,6,,10.42982107,0.3,24,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,,0
1216,160,1.021941545,1216,1900,1216,7.6,11.9,7.6,,10.42982107,6,1216,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,,31.3
4396,713,1.16,4396,4396,3253,7.1,7.1,4.6,,10.42982107,6.9,3253,1,9.761262136,137,220,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,,14.6
418,72,1.021941545,418,418,418,5.8,5.8,5.8,,10.42982107,2.1,418,1,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,,27.8
4500,799,1.24,4500,4839,4500,7,7.5,5.6,,11.7,11,0,1,5,300,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,,48.1
1830,201,1.09,1830,1830,1830,9.9,9.9,9.1,,8.5,3.6,1830,1,6,81,86,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,,0
