UFP rating,Year of Project,Count Approach,Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Defect Density,Speed of Delivery,Project Elapsed Time,Effort Unphased,Total Defects Delivered,Development Type,Architecture,Client Server?,Functional Sizing Technique,FP Standards All,Development Platform,Language Type,CASE Tool Used,Used Methodology,How Methodology Acquired,Resource Level,Max Team Size,Input count
UFP_rating_B,2004,Count_Approach_IFPUG,191,191,123456789.0,571,737,737,3.0,3.9,3.9,0.0,19.1,2.0,0,0,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,5.0,123456789.0
UFP_rating_A,1994,Count_Approach_OTHER,292,303,1.04,123456789,3570,3570,123456789.0,12.2,11.8,24.0,8.1,12.0,123456789,7,Development_Type_New Development,Architecture_Multi-tier,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_IFPUG,Development_Platform_PC,4GL,Yes,Used_Methodology_No,How_Methodology_Acquired_Developed Inhouse,2,3.0,67.86
UFP_rating_A,1993,Count_Approach_IFPUG,4167,3625,0.87,4787,11934,11934,1.1,2.9,3.3,3.1,24.5,17.0,0,13,Development_Type_New Development,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,4,10.0,123456789.0
UFP_rating_B,2004,Count_Approach_IFPUG,304,304,123456789.0,5377,5377,5377,17.7,17.7,17.7,36.2,3.8,10.0,5377,11,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,8.0,59.0
UFP_rating_A,2007,Count_Approach_IFPUG,132,132,1.0,1485,1485,1485,11.3,11.3,11.3,15.2,3.7,12.0,1485,2,Development_Type_Enhancement,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,3.0,57.0
UFP_rating_B,2000,Count_Approach_NESMA,811,811,123456789.0,1076,1681,1076,1.3,2.1,1.3,2.5,123456789.0,2.0,1076,2,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Other,FP_Standards_All_IFPUG,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,123456789.0,123456789.0
UFP_rating_A,1994,Count_Approach_IFPUG,42,29,0.7,123456789,932,932,123456789.0,22.2,32.1,47.6,123456789.0,123456789.0,123456789,2,Development_Type_New Development,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,4,4.0,0.0
UFP_rating_A,2000,Count_Approach_IFPUG,28,28,1.0,686,686,686,24.5,24.5,24.5,142.9,1.8,4.0,92,4,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MR,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,4.0,123456789.0
UFP_rating_A,1998,Count_Approach_IFPUG,62,76,1.23,2049,2049,1680,33.0,33.0,22.1,0.0,123456789.0,123456789.0,0,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,2.0,29.0
UFP_rating_A,2007,Count_Approach_IFPUG,249,249,1.0,2204,2204,2204,8.9,8.9,8.9,0.0,1.8,15.0,2204,0,Development_Type_Enhancement,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_Multi,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,9.0,156.0
UFP_rating_D,2003,Count_Approach_COSMIC,55,55,123456789.0,675,740,740,12.3,13.5,13.5,72.7,5.5,5.0,0,4,Development_Type_Re-development,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_Multi,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,2.0,55.0
UFP_rating_B,2000,Count_Approach_NESMA,171,171,123456789.0,2779,4342,2779,16.3,25.4,16.3,5.8,123456789.0,4.0,2779,1,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Other,FP_Standards_All_IFPUG,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,123456789.0,123456789.0
UFP_rating_A,1997,Count_Approach_IFPUG,387,387,1.0,1235,1235,1235,3.2,3.2,3.2,28.4,19.4,5.0,35,11,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MR,1GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,4.0,123456789.0
UFP_rating_D,2008,Count_Approach_COSMIC,11,11,123456789.0,40,40,40,3.6,3.6,3.6,0.0,11.0,0.5,40,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_IFPUG,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,2.0,123456789.0
UFP_rating_B,2004,Count_Approach_IFPUG,263,263,123456789.0,911,911,911,3.5,3.5,3.5,0.0,8.8,3.0,911,0,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,10.0,65.0
UFP_rating_A,1995,Count_Approach_IFPUG,202,190,0.94,1171,1171,1171,5.8,5.8,6.2,34.7,4.0,10.0,1171,7,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_COSMIC,Development_Platform_MR,3GL,Yes,Used_Methodology_No,How_Methodology_Acquired_Combined Developed/Purchased,1,5.0,98.0
UFP_rating_A,1997,Count_Approach_IFPUG,272,294,1.08,123456789,1248,1248,123456789.0,4.6,4.2,99.3,123456789.0,7.0,123456789,27,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,4GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,4,123456789.0,42.0
UFP_rating_A,1999,Count_Approach_IFPUG,474,474,1.0,1644,1644,1644,3.5,3.5,3.5,4.2,13.5,7.0,50,2,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MR,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,5.0,123456789.0
UFP_rating_A,2000,Count_Approach_IFPUG,149,142,0.95,174,193,174,1.2,1.3,1.2,0.0,12.4,2.0,119,0,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,6.0,123456789.0
UFP_rating_D,2008,Count_Approach_COSMIC,4,4,123456789.0,24,24,24,6.0,6.0,6.0,0.0,4.0,0.5,24,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_IFPUG,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,2.0,123456789.0
UFP_rating_A,1995,Count_Approach_IFPUG,399,395,0.99,5900,5900,5900,14.8,14.8,14.9,32.6,5.7,14.0,0,13,Development_Type_Re-development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_Other,Development_Platform_MF,4GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,5.0,94.0
UFP_rating_B,2005,Count_Approach_IFPUG,228,228,123456789.0,2877,2877,2877,12.6,12.6,12.6,4.4,6.3,4.0,2877,1,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_Multi,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,9.0,77.0
UFP_rating_A,1995,Count_Approach_IFPUG,455,455,1.0,10670,10670,10670,23.5,23.5,23.5,164.8,3.8,20.0,180,75,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MR,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,6.0,123456789.0
UFP_rating_A,2007,Count_Approach_IFPUG,199,199,1.0,3746,3746,3746,18.8,18.8,18.8,15.1,3.2,9.0,3746,3,Development_Type_Enhancement,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,7.0,68.0
UFP_rating_B,2004,Count_Approach_IFPUG,58,58,123456789.0,278,278,278,4.8,4.8,4.8,51.7,123456789.0,2.0,278,3,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Traditional,1,123456789.0,123456789.0
UFP_rating_B,2005,Count_Approach_IFPUG,270,270,123456789.0,3430,3430,3430,12.7,12.7,12.7,3.7,5.4,10.0,3430,1,Development_Type_Enhancement,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,5.0,114.0
UFP_rating_A,2007,Count_Approach_IFPUG,161,161,1.0,1146,1146,1146,7.1,7.1,7.1,31.1,8.1,5.0,1146,5,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,4.0,88.0
UFP_rating_B,2005,Count_Approach_IFPUG,100,100,123456789.0,486,552,552,4.9,5.5,5.5,0.0,11.8,1.7,123456789,0,Development_Type_Re-development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,5.0,123456789.0
UFP_rating_A,1994,Count_Approach_IFPUG,53,46,0.87,344,344,344,6.5,6.5,7.5,0.0,123456789.0,6.0,344,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_COSMIC,Development_Platform_MF,4GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,123456789.0,0.0
UFP_rating_B,2000,Count_Approach_IFPUG,55,55,123456789.0,1028,1606,1028,18.7,29.2,18.7,0.0,123456789.0,1.0,1028,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,123456789.0,123456789.0
UFP_rating_A,2008,Count_Approach_IFPUG,733,733,1.0,4544,4544,4544,6.2,6.2,6.2,0.0,11.3,13.0,4544,0,Development_Type_New Development,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,5.0,341.0
UFP_rating_B,2004,Count_Approach_IFPUG,82,82,123456789.0,410,410,410,5.0,5.0,5.0,12.2,123456789.0,3.0,410,1,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Traditional,1,123456789.0,123456789.0
UFP_rating_A,1995,Count_Approach_IFPUG,244,244,1.0,123456789,191,191,123456789.0,0.8,0.8,16.4,34.9,7.0,123456789,4,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,4,1.0,68.0
UFP_rating_A,1993,Count_Approach_IFPUG,446,357,0.8,1746,1746,1746,3.9,3.9,4.9,0.0,123456789.0,15.0,1746,0,Development_Type_New Development,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_IFPUG,Development_Platform_MR,4GL,No,Used_Methodology_No,How_Methodology_Acquired_Combined Developed/Purchased,1,123456789.0,114.0
UFP_rating_B,2004,Count_Approach_IFPUG,6,6,123456789.0,36,36,36,6.0,6.0,6.0,0.0,123456789.0,0.2,36,0,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Traditional,1,123456789.0,123456789.0
UFP_rating_A,1999,Count_Approach_IFPUG,441,441,1.0,454,454,454,1.0,1.0,1.0,11.3,15.8,7.0,14,5,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MR,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,4.0,123456789.0
UFP_rating_A,1997,Count_Approach_OTHER,335,298,0.89,2409,2409,2409,7.2,7.2,8.1,0.0,4.7,6.0,0,0,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,12.0,82.94
UFP_rating_A,1996,Count_Approach_IFPUG,112,101,0.9,406,406,406,3.6,3.6,4.0,8.9,14.0,8.0,406,1,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,No,Used_Methodology_No,How_Methodology_Acquired_Combined Developed/Purchased,1,1.0,16.0
UFP_rating_A,1995,Count_Approach_IFPUG,195,193,0.99,123456789,1717,1717,123456789.0,8.8,8.9,10.3,10.8,3.0,123456789,2,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_Other,Development_Platform_MR,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,6.0,48.0
UFP_rating_A,1999,Count_Approach_IFPUG,144,99,0.69,34,558,558,0.2,3.9,5.6,0.0,9.0,4.0,34,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,4.0,123456789.0
UFP_rating_A,2001,Count_Approach_IFPUG,32,23,0.73,1543,1543,1543,48.2,48.2,67.1,0.0,1.3,6.0,253,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,4.0,123456789.0
UFP_rating_A,1997,Count_Approach_IFPUG,101,76,0.75,123456789,1042,1042,123456789.0,10.3,13.7,99.0,123456789.0,4.0,123456789,10,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,4,123456789.0,15.0
UFP_rating_A,2006,Count_Approach_IFPUG,324,324,1.0,5499,5499,5499,17.0,17.0,17.0,0.0,2.7,10.0,5499,0,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,12.0,101.0
UFP_rating_B,2005,Count_Approach_IFPUG,454,454,123456789.0,5308,5144,5144,11.7,11.3,11.3,0.0,123456789.0,123456789.0,123456789,0,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,123456789.0,123456789.0
UFP_rating_B,2004,Count_Approach_IFPUG,25,25,123456789.0,358,358,358,14.3,14.3,14.3,80.0,123456789.0,2.0,358,2,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_Multi,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Traditional,1,123456789.0,123456789.0
UFP_rating_A,1994,Count_Approach_IFPUG,182,180,0.99,123456789,700,700,123456789.0,3.8,3.9,11.0,36.4,5.0,123456789,2,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_COSMIC,Development_Platform_MR,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,2,1.0,74.0
UFP_rating_A,2004,Count_Approach_IFPUG,287,287,1.0,10157,10157,10157,35.4,35.4,35.4,0.0,123456789.0,27.6,10157,0,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,123456789.0,94.0
UFP_rating_B,2001,Count_Approach_IFPUG,194,194,123456789.0,123456789,3934,3934,123456789.0,20.3,20.3,20.6,4.0,7.0,123456789,4,Development_Type_New Development,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_MR,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,4,7.0,56.0
UFP_rating_D,2003,Count_Approach_COSMIC,838,838,123456789.0,2678,2678,2678,3.2,3.2,3.2,1.2,8.4,20.0,0,1,Development_Type_New Development,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_PC,3GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,5.0,836.0
UFP_rating_D,2001,Count_Approach_COSMIC,279,279,123456789.0,385,385,385,1.4,1.4,1.4,3.6,139.5,2.0,385,1,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_PC,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,1.0,279.0
UFP_rating_A,1997,Count_Approach_IFPUG,35,35,1.01,1828,2031,1828,52.2,58.0,52.2,57.1,0.6,18.0,1243,2,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,3.0,123456789.0
UFP_rating_A,1998,Count_Approach_IFPUG,198,198,1.0,1085,1085,1085,5.5,5.5,5.5,55.6,16.5,4.0,185,11,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MR,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,3.0,123456789.0
UFP_rating_A,2007,Count_Approach_IFPUG,95,95,1.0,1044,1044,1044,11.0,11.0,11.0,10.5,1.9,10.0,1044,1,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_PC,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,5.0,9.0
UFP_rating_A,1993,Count_Approach_IFPUG,279,258,0.92,1568,1568,1568,5.6,5.6,6.1,3.6,23.3,3.0,1568,1,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,4GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,4.0,125.0
UFP_rating_A,2000,Count_Approach_IFPUG,6,6,1.0,180,200,180,30.0,33.3,30.0,0.0,0.5,6.0,139,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,2.0,123456789.0
UFP_rating_A,2000,Count_Approach_IFPUG,1052,1052,1.0,7887,39104,39104,7.5,37.2,37.2,0.0,1.7,12.0,7887,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_MF,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,52.0,123456789.0
UFP_rating_D,1997,Count_Approach_OTHER,397,496,123456789.0,1547,1547,1547,3.9,3.9,3.1,0.0,8.8,9.0,1547,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,5.0,33.06
