Year of Project,Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Defect Density,Speed of Delivery,Project Elapsed Time,Effort Unphased,Total Defects Delivered,Resource Level,Max Team Size,Input count,Added count,Count_Approach_COSMIC,Count_Approach_IFPUG,Count_Approach_NESMA,Count_Approach_OTHER,Development_Type_Enhancement,Development_Type_New Development,Development_Type_Re-development,Architecture_Client server,Architecture_Multi-tier,Architecture_Stand alone,Functional_Size_Technique_Other,Functional_Size_Technique_Supported by a tool,Functional_Size_Technique_Wholly manual,FP_Standard_All_COSMIC,FP_Standard_All_IFPUG,FP_Standard_All_Other,FP_Standard_All_COSMIC.1,FP_Standard_All_IFPUG.1,FP_Standard_All_Other.1,Language_Type_1GL,Language_Type_3GL,Language_Type_4GL,Client_Server_Used,Development_Platform_MF,Development_Platform_MR,Development_Platform_Multi,Development_Platform_PC,Case_Tool_Used_Yes,How_Methodology_Acquired_Combined Developed/Purchased,How_Methodology_Acquired_Developed Inhouse,How_Methodology_Acquired_Traditional,Used_Methodology_Yes
2007.0,132,132.0,1.0,1485.0,1485,1485,11.3,11.3,11.3,15.2,3.7,12.0,1485.0,2,1,3.0,57.0,95.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
2000.0,811,811.0,1.021941545,1076.0,1681,1076,1.3,2.1,1.3,2.5,10.42982107,2.0,1076.0,2,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1994.0,42,29.0,0.7,5316.463277000001,932,932,15.99293785,22.2,32.1,47.6,10.42982107,8.957260274,2853.3091719999998,2,4,4.0,0.0,42.0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1
2000.0,28,28.0,1.0,686.0,686,686,24.5,24.5,24.5,142.9,1.8,4.0,92.0,4,1,4.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
1998.0,62,76.0,1.23,2049.0,2049,1680,33.0,33.0,22.1,0.0,10.42982107,8.957260274,0.0,0,1,2.0,29.0,62.0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
2007.0,249,249.0,1.0,2204.0,2204,2204,8.9,8.9,8.9,0.0,1.8,15.0,2204.0,0,1,9.0,156.0,249.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
2003.0,55,55.0,1.021941545,675.0,740,740,12.3,13.5,13.5,72.7,5.5,5.0,0.0,4,4,2.0,55.0,55.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
2000.0,171,171.0,1.021941545,2779.0,4342,2779,16.3,25.4,16.3,5.8,10.42982107,4.0,2779.0,1,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1997.0,387,387.0,1.0,1235.0,1235,1235,3.2,3.2,3.2,28.4,19.4,5.0,35.0,11,1,4.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
2008.0,11,11.0,1.021941545,40.0,40,40,3.6,3.6,3.6,0.0,11.0,0.5,40.0,0,1,2.0,166.04545,11.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1
2004.0,263,263.0,1.021941545,911.0,911,911,3.5,3.5,3.5,0.0,8.8,3.0,911.0,0,1,10.0,65.0,176.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1995.0,202,190.0,0.94,1171.0,1171,1171,5.8,5.8,6.2,34.7,4.0,10.0,1171.0,7,1,5.0,98.0,160.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
1997.0,272,294.0,1.08,5316.463277000001,1248,1248,15.99293785,4.6,4.2,99.3,10.42982107,7.0,2853.3091719999998,27,4,9.761262136000001,42.0,272.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1999.0,474,474.0,1.0,1644.0,1644,1644,3.5,3.5,3.5,4.2,13.5,7.0,50.0,2,1,5.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
2000.0,149,142.0,0.95,174.0,193,174,1.2,1.3,1.2,0.0,12.4,2.0,119.0,0,1,6.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
2008.0,4,4.0,1.021941545,24.0,24,24,6.0,6.0,6.0,0.0,4.0,0.5,24.0,0,1,2.0,166.04545,0.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1
1995.0,399,395.0,0.99,5900.0,5900,5900,14.8,14.8,14.9,32.6,5.7,14.0,0.0,13,1,5.0,94.0,399.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
2005.0,228,228.0,1.021941545,2877.0,2877,2877,12.6,12.6,12.6,4.4,6.3,4.0,2877.0,1,1,9.0,77.0,228.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
1995.0,455,455.0,1.0,10670.0,10670,10670,23.5,23.5,23.5,164.8,3.8,20.0,180.0,75,1,6.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
2007.0,199,199.0,1.0,3746.0,3746,3746,18.8,18.8,18.8,15.1,3.2,9.0,3746.0,3,1,7.0,68.0,171.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
2004.0,58,58.0,1.021941545,278.0,278,278,4.8,4.8,4.8,51.7,10.42982107,2.0,278.0,3,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
2005.0,270,270.0,1.021941545,3430.0,3430,3430,12.7,12.7,12.7,3.7,5.4,10.0,3430.0,1,1,5.0,114.0,270.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
2007.0,161,161.0,1.0,1146.0,1146,1146,7.1,7.1,7.1,31.1,8.1,5.0,1146.0,5,1,4.0,88.0,18.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
2005.0,100,100.0,1.021941545,486.0,552,552,4.9,5.5,5.5,0.0,11.8,1.7,2853.3091719999998,0,4,5.0,166.04545,341.22151030000003,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
1994.0,53,46.0,0.87,344.0,344,344,6.5,6.5,7.5,0.0,10.42982107,6.0,344.0,0,1,9.761262136000001,0.0,28.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
2000.0,55,55.0,1.021941545,1028.0,1606,1028,18.7,29.2,18.7,0.0,10.42982107,1.0,1028.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
2008.0,733,733.0,1.0,4544.0,4544,4544,6.2,6.2,6.2,0.0,11.3,13.0,4544.0,0,1,5.0,341.0,733.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2004.0,82,82.0,1.021941545,410.0,410,410,5.0,5.0,5.0,12.2,10.42982107,3.0,410.0,1,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1995.0,244,244.0,1.0,5316.463277000001,191,191,15.99293785,0.8,0.8,16.4,34.9,7.0,2853.3091719999998,4,4,1.0,68.0,244.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
1993.0,446,357.0,0.8,1746.0,1746,1746,3.9,3.9,4.9,0.0,10.42982107,15.0,1746.0,0,1,9.761262136000001,114.0,446.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
2004.0,6,6.0,1.021941545,36.0,36,36,6.0,6.0,6.0,0.0,10.42982107,0.2,36.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1999.0,441,441.0,1.0,454.0,454,454,1.0,1.0,1.0,11.3,15.8,7.0,14.0,5,1,4.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
1997.0,335,298.0,0.89,2409.0,2409,2409,7.2,7.2,8.1,0.0,4.7,6.0,0.0,0,1,12.0,82.94,334.82,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
1996.0,112,101.0,0.9,406.0,406,406,3.6,3.6,4.0,8.9,14.0,8.0,406.0,1,1,1.0,16.0,112.0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1995.0,195,193.0,0.99,5316.463277000001,1717,1717,15.99293785,8.8,8.9,10.3,10.8,3.0,2853.3091719999998,2,4,6.0,48.0,195.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
1999.0,144,99.0,0.69,34.0,558,558,0.2,3.9,5.6,0.0,9.0,4.0,34.0,0,4,4.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
2001.0,32,23.0,0.73,1543.0,1543,1543,48.2,48.2,67.1,0.0,1.3,6.0,253.0,0,1,4.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
1997.0,101,76.0,0.75,5316.463277000001,1042,1042,15.99293785,10.3,13.7,99.0,10.42982107,4.0,2853.3091719999998,10,4,9.761262136000001,15.0,101.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2006.0,324,324.0,1.0,5499.0,5499,5499,17.0,17.0,17.0,0.0,2.7,10.0,5499.0,0,1,12.0,101.0,324.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
2005.0,454,454.0,1.021941545,5308.0,5144,5144,11.7,11.3,11.3,0.0,10.42982107,8.957260274,2853.3091719999998,0,4,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
2004.0,25,25.0,1.021941545,358.0,358,358,14.3,14.3,14.3,80.0,10.42982107,2.0,358.0,2,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
1994.0,182,180.0,0.99,5316.463277000001,700,700,15.99293785,3.8,3.9,11.0,36.4,5.0,2853.3091719999998,2,2,1.0,74.0,153.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
2004.0,287,287.0,1.0,10157.0,10157,10157,35.4,35.4,35.4,0.0,10.42982107,27.6,10157.0,0,1,9.761262136000001,94.0,29.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
2001.0,194,194.0,1.021941545,5316.463277000001,3934,3934,15.99293785,20.3,20.3,20.6,4.0,7.0,2853.3091719999998,4,4,7.0,56.0,194.0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
2003.0,838,838.0,1.021941545,2678.0,2678,2678,3.2,3.2,3.2,1.2,8.4,20.0,0.0,1,1,5.0,836.0,836.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
2001.0,279,279.0,1.021941545,385.0,385,385,1.4,1.4,1.4,3.6,139.5,2.0,385.0,1,4,1.0,279.0,279.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
1997.0,35,35.0,1.01,1828.0,2031,1828,52.2,58.0,52.2,57.1,0.6,18.0,1243.0,2,1,3.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
1998.0,198,198.0,1.0,1085.0,1085,1085,5.5,5.5,5.5,55.6,16.5,4.0,185.0,11,1,3.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
2007.0,95,95.0,1.0,1044.0,1044,1044,11.0,11.0,11.0,10.5,1.9,10.0,1044.0,1,1,5.0,9.0,95.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
1993.0,279,258.0,0.92,1568.0,1568,1568,5.6,5.6,6.1,3.6,23.3,3.0,1568.0,1,1,4.0,125.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
2000.0,6,6.0,1.0,180.0,200,180,30.0,33.3,30.0,0.0,0.5,6.0,139.0,0,1,2.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2000.0,1052,1052.0,1.0,7887.0,39104,39104,7.5,37.2,37.2,0.0,1.7,12.0,7887.0,0,4,52.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
1997.0,397,496.0,1.021941545,1547.0,1547,1547,3.9,3.9,3.1,0.0,8.8,9.0,1547.0,0,4,5.0,33.06,40.76,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1995.0,157,162.0,1.03,1754.0,1754,1754,11.2,11.2,10.8,57.3,4.9,8.0,0.0,9,1,4.0,64.0,157.0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2005.0,696,696.0,1.021941545,6023.0,6023,6023,8.7,8.7,8.7,15.8,5.4,13.0,6023.0,11,1,10.0,335.0,305.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
1999.0,515,546.0,1.06,302.0,8114,8114,0.6,15.8,14.9,0.0,4.6,16.0,302.0,0,4,7.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
1993.0,2480,2406.0,0.97,10600.0,11700,11700,4.3,4.7,4.9,8.1,10.42982107,12.0,10600.0,20,4,9.761262136000001,0.0,2480.0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1999.0,538,699.0,1.3,8060.0,8060,8060,15.0,15.0,11.5,0.0,10.42982107,12.0,8060.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
2000.0,201,201.0,1.021941545,1744.0,1744,1430,8.7,8.7,7.1,373.1,10.42982107,8.957260274,0.0,75,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2000.0,119,155.0,1.3,7150.0,7150,7150,60.1,60.1,46.1,0.0,10.42982107,12.0,7150.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
2001.0,331,397.0,1.2,8176.0,8176,8176,24.7,24.7,20.6,0.0,3.2,17.0,1633.0,0,1,6.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
2000.0,42,42.0,1.021941545,192.0,300,192,4.6,7.1,4.6,23.8,10.42982107,2.0,192.0,1,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
2007.0,777,777.0,1.0,7119.0,7119,7119,9.2,9.2,9.2,16.7,7.8,20.0,7119.0,13,1,5.0,210.0,777.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
1995.0,456,529.0,1.16,15353.0,21684,14528,33.7,47.6,27.5,0.0,6.9,6.0,0.0,0,4,11.0,118.0,456.0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
1998.0,1233,1233.0,1.0,20041.0,20041,20041,16.3,16.3,16.3,7.3,4.3,9.0,9456.0,9,1,32.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
1998.0,180,194.0,1.08,3624.0,4027,3624,20.1,22.4,18.7,0.0,7.2,5.0,3250.0,0,1,5.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2005.0,259,259.0,1.021941545,8963.0,8963,8963,34.6,34.6,34.6,3.9,1.4,20.0,8963.0,1,1,9.0,21.0,259.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2000.0,91,91.0,1.021941545,939.0,1467,939,10.3,16.1,10.3,0.0,10.42982107,2.0,939.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
2000.0,335,342.0,1.02,218.0,2028,2028,0.7,6.1,5.9,0.0,6.0,8.0,218.0,0,4,7.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
2000.0,265,286.0,1.08,1464.0,1464,1464,5.5,5.5,5.1,18.9,5.5,6.0,0.0,5,1,8.0,45.0,265.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2003.0,28,28.0,1.021941545,279.0,279,279,10.0,10.0,10.0,35.7,2.2,4.3,0.0,1,1,3.0,166.04545,8.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
2004.0,367,367.0,1.021941545,2930.0,2930,2930,8.0,8.0,8.0,5.4,5.1,12.0,2930.0,2,1,6.0,116.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1995.0,292,292.0,1.0,6680.0,6680,6680,22.9,22.9,22.9,222.6,3.7,20.0,110.0,65,1,4.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
1999.0,159,159.0,1.0,5316.463277000001,1704,1704,15.99293785,10.7,10.7,0.0,5.3,6.0,2853.3091719999998,0,4,5.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
2006.0,144,144.0,1.0,809.0,809,809,5.6,5.6,5.6,34.7,9.6,5.0,809.0,5,1,3.0,49.0,16.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1999.0,393,393.0,1.0,6660.0,6660,6660,16.9,16.9,16.9,0.0,3.3,10.0,300.0,0,1,12.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
2000.0,474,374.0,0.79,310.0,5673,5106,0.7,12.0,13.7,0.0,2.8,9.0,310.0,0,4,19.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
