Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Speed of Delivery,Project Elapsed Time,Effort Plan,Effort Specify,Effort Design,Effort Build,Effort Test,Effort Implement,Effort Unphased,Development Type,Client Server?,Development Platform,Language Type,CASE Tool Used,How Methodology Acquired,Average Team Size,Defect Density
202,190,0.94,1171,1171,5.8,5.8,4,10,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1171,0,0,1,1,1,0,5,34.7
272,294,1.08,5316.463277,1248,15.99293785,4.6,10.42982107,7,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,1,0,0,2,0,1,5.261340206,99.3
474,474,1,1644,1644,3.5,3.5,13.5,7,159,961.5682819,621.5263158,1351,84,372.0342857,50,1,1,1,1,1,0,2,4.2
149,142,0.95,174,193,1.2,1.3,12.4,2,608.9672897,961.5682819,621.5263158,3261.750943,55,372.0342857,119,1,0,3,2,1,1,2,0
4,4,1.021941545,24,24,6,6,4,0.5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,24,0,1,0,1,1,0,5.261340206,0
399,395,0.99,5900,5900,14.8,14.8,5.7,14,367,438,621.5263158,3127,1626,342,0,2,0,0,2,0,1,5.261340206,32.6
228,228,1.021941545,2877,2877,12.6,12.6,6.3,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2877,1,1,2,2,1,0,5.261340206,4.4
455,455,1,10670,10670,23.5,23.5,3.8,20,440,760,621.5263158,8450,840,372.0342857,180,1,1,1,2,1,0,5.261340206,164.8
199,199,1,3746,3746,18.8,18.8,3.2,9,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,3746,0,1,2,1,1,0,7,15.1
58,58,1.021941545,278,278,4.8,4.8,10.42982107,2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,278,0,1,2,1,1,2,5.261340206,51.7
270,270,1.021941545,3430,3430,12.7,12.7,5.4,10,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,3430,0,1,2,1,1,0,5.261340206,3.7
161,161,1,1146,1146,7.1,7.1,8.1,5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1146,0,0,3,2,1,0,4,31.1
100,100,1.021941545,486,552,4.9,5.5,11.8,1.7,0,18,24,408,30,6,2853.309172,2,1,0,1,1,0,5.261340206,0
53,46,0.87,344,344,6.5,6.5,10.42982107,6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,344,0,0,0,2,0,1,5.261340206,0
55,55,1.021941545,1028,1606,18.7,29.2,10.42982107,1,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1028,0,0,0,1,1,0,5.261340206,0
733,733,1,4544,4544,6.2,6.2,11.3,13,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,4544,1,1,2,1,0,0,5.261340206,0
82,82,1.021941545,410,410,5,5,10.42982107,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,410,0,1,2,1,1,2,5.261340206,12.2
244,244,1,5316.463277,191,15.99293785,0.8,34.9,7,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,1,0,3,2,1,1,5.261340206,16.4
446,357,0.8,1746,1746,3.9,3.9,10.42982107,15,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1746,1,1,1,2,0,0,5.261340206,0
6,6,1.021941545,36,36,6,6,10.42982107,0.2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,36,0,1,2,1,1,2,5.261340206,0
441,441,1,454,454,1,1,15.8,7,14,7,621.5263158,252,167,372.0342857,14,0,1,1,2,1,0,1.5,11.3
335,298,0.89,2409,2409,7.2,7.2,4.7,6,59,310,621.5263158,1545,426,69,0,1,0,0,1,1,1,6.3,0
112,101,0.9,406,406,3.6,3.6,14,8,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,406,1,0,3,2,0,0,1,8.9
195,193,0.99,5316.463277,1717,15.99293785,8.8,10.8,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,0,0,1,1,0,0,3.2,10.3
144,99,0.69,34,558,0.2,3.9,9,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,34,0,1,0,1,1,0,5.261340206,0
32,23,0.73,1543,1543,48.2,48.2,1.3,6,608.9672897,392,621.5263158,776,1171.996516,122,253,0,1,0,1,1,0,5.261340206,0
101,76,0.75,5316.463277,1042,15.99293785,10.3,10.42982107,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,0,0,0,1,0,1,5.261340206,99
324,324,1,5499,5499,17,17,2.7,10,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,5499,1,0,0,1,1,0,12,0
454,454,1.021941545,5308,5144,11.7,11.3,10.42982107,8.957260274,2363,0,0,2502,278,165,2853.309172,1,1,3,2,1,0,5.261340206,0
25,25,1.021941545,358,358,14.3,14.3,10.42982107,2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,358,0,1,2,2,1,2,5.261340206,80
182,180,0.99,5316.463277,700,15.99293785,3.8,36.4,5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,0,1,1,1,0,0,5.261340206,11
287,287,1,10157,10157,35.4,35.4,10.42982107,27.6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,10157,0,1,2,1,0,1,5.261340206,0
194,194,1.021941545,5316.463277,3934,15.99293785,20.3,4,7,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,1,1,1,1,0,1,4.8,20.6
838,838,1.021941545,2678,2678,3.2,3.2,8.4,20,320,550,210,797,603,198,0,1,1,3,1,0,0,2.5,1.2
279,279,1.021941545,385,385,1.4,1.4,139.5,2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,385,1,0,3,1,1,0,5.261340206,3.6
35,35,1.01,1828,2031,52.2,58,0.6,18,608.9672897,961.5682819,621.5263158,3261.750943,585,372.0342857,1243,1,0,0,1,1,1,2,57.1
198,198,1,1085,1085,5.5,5.5,16.5,4,50,50,621.5263158,597,203,372.0342857,185,1,1,1,1,1,0,5.261340206,55.6
95,95,1,1044,1044,11,11,1.9,10,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1044,1,0,3,1,1,0,5.261340206,10.5
279,258,0.92,1568,1568,5.6,5.6,23.3,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1568,0,1,0,2,0,1,5.261340206,3.6
6,6,1,180,200,30,33.3,0.5,6,608.9672897,961.5682819,621.5263158,3261.750943,41,372.0342857,139,0,0,0,1,1,1,1,0
1052,1052,1,7887,39104,7.5,37.2,1.7,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,7887,0,1,0,2,1,0,5.261340206,0
397,496,1.021941545,1547,1547,3.9,3.9,8.8,9,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1547,0,0,0,1,1,0,5,0
157,162,1.03,1754,1754,11.2,11.2,4.9,8,170,486,621.5263158,806,159,133,0,1,0,0,1,1,1,2.8,57.3
696,696,1.021941545,6023,6023,8.7,8.7,5.4,13,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,6023,0,1,2,2,1,0,5.261340206,15.8
515,546,1.06,302,8114,0.6,15.8,4.6,16,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,302,1,1,0,2,1,0,5.261340206,0
2480,2406,0.97,10600,11700,4.3,4.7,10.42982107,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,10600,1,1,0,0,1,0,5.261340206,8.1
538,699,1.3,8060,8060,15,15,10.42982107,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,8060,0,1,3,1,1,0,5.261340206,0
201,201,1.021941545,1744,1744,8.7,8.7,10.42982107,8.957260274,151,149,621.5263158,650,1171.996516,480,0,1,0,3,1,0,0,5.261340206,373.1
119,155,1.3,7150,7150,60.1,60.1,10.42982107,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,7150,0,1,3,1,1,0,5.261340206,0
331,397,1.2,8176,8176,24.7,24.7,3.2,17,1247,528,621.5263158,4088,1171.996516,680,1633,1,1,0,1,1,0,5.261340206,0
42,42,1.021941545,192,300,4.6,7.1,10.42982107,2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,192,0,0,3,0,1,0,5.261340206,23.8
777,777,1,7119,7119,9.2,9.2,7.8,20,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,7119,1,1,2,1,1,0,5.261340206,16.7
456,529,1.16,15353,21684,33.7,47.6,6.9,6,608.9672897,961.5682819,621.5263158,9826,0,372.0342857,0,1,0,0,1,1,1,7.8,0
1233,1233,1,20041,20041,16.3,16.3,4.3,9,5097,2540,621.5263158,990,1958,372.0342857,9456,0,1,1,0,1,0,5.261340206,7.3
180,194,1.08,3624,4027,20.1,22.4,7.2,5,608.9672897,961.5682819,621.5263158,3261.750943,374,372.0342857,3250,1,0,0,1,1,1,2,0
259,259,1.021941545,8963,8963,34.6,34.6,1.4,20,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,8963,1,1,2,1,0,0,5.261340206,3.9
91,91,1.021941545,939,1467,10.3,16.1,10.42982107,2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,939,2,0,3,2,1,0,5.261340206,0
335,342,1.02,218,2028,0.7,6.1,6,8,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,218,1,1,0,2,1,0,5.261340206,0
265,286,1.08,1464,1464,5.5,5.5,5.5,6,120,288,621.5263158,592,372,92,0,0,0,0,1,0,1,8,18.9
28,28,1.021941545,279,279,10,10,2.2,4.3,13,34,17,70,118,27,0,0,1,0,1,0,0,1.8,35.7
367,367,1.021941545,2930,2930,8,8,5.1,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2930,0,1,2,1,0,0,5.261340206,5.4
292,292,1,6680,6680,22.9,22.9,3.7,20,280,490,621.5263158,5680,120,372.0342857,110,1,1,1,2,1,0,5.261340206,222.6
159,159,1,5316.463277,1704,15.99293785,10.7,5.3,6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,0,1,0,0,1,0,5.261340206,0
144,144,1,809,809,5.6,5.6,9.6,5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,809,0,0,0,1,1,0,5.261340206,34.7
393,393,1,6660,6660,16.9,16.9,3.3,10,490,410,621.5263158,4750,710,372.0342857,300,0,1,1,0,1,0,5.261340206,0
474,374,0.79,310,5673,0.7,12,2.8,9,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,310,0,1,0,1,1,0,5.261340206,0
1239,1177,0.95,5316.463277,11514,15.99293785,9.3,10.42982107,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,0,0,0,0,0,1,5.261340206,3.2
113,113,1,6710,6710,59.4,59.4,1.2,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,6710,0,1,0,1,0,1,5.261340206,0
615,738,1.2,2786,2786,4.5,4.5,5.9,7,206,50,100,464,1641,325,0,2,1,3,1,0,1,8,4.9
171,171,1.021941545,1537,2402,9,14,10.42982107,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1537,0,0,0,1,1,0,5.261340206,5.8
114,128,1.12,1860,1860,16.3,16.3,10.42982107,6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1860,0,1,3,1,1,0,5.261340206,0
221,221,1,624,843,2.8,3.8,24.6,3,56,961.5682819,621.5263158,485,82,372.0342857,1,0,1,1,0,1,0,5.261340206,285.1
1606,1606,1,17230,17230,10.7,10.7,7.2,7,3794,791,621.5263158,555,1584,372.0342857,10506,0,1,1,0,1,0,5.261340206,2.5
91,91,1.021941545,474,741,5.2,8.1,10.42982107,1,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,474,0,1,3,2,1,0,5.261340206,44
71,89,1.25,2161,2221,30.4,31.3,10.42982107,5,60,236,450,700,670,45,0,0,0,0,1,0,1,5.261340206,0
135,119,0.88,700,700,5.2,5.2,10.42982107,8.957260274,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,700,1,1,3,2,1,0,5.261340206,37
184,202,1.1,2752,2752,15,15,7.5,3.5,432,120,621.5263158,900,1200,100,0,0,1,3,0,1,0,4.4,81.5
303,303,1.021941545,2224,3475,7.3,11.5,10.42982107,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2224,1,1,3,2,1,0,5.261340206,16.5
292,283,0.97,5650,5650,19.3,19.3,10.42982107,13,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,5650,1,1,0,1,1,0,5.261340206,10.3
334,334,1.021941545,2648,2648,7.9,7.9,4.6,9,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2648,0,1,2,2,1,0,5.261340206,47.9
1670,1670,1.021941545,5906,10206,3.5,6.1,4.6,19,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,5906,1,1,3,2,1,1,5.261340206,1.8
4,4,1.021941545,24,24,6,6,10.42982107,0.3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,24,0,1,2,1,1,2,5.261340206,0
160,160,1.021941545,1216,1900,7.6,11.9,10.42982107,6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1216,0,1,0,0,1,0,5.261340206,31.3
615,713,1.16,4396,4396,7.1,7.1,10.42982107,6.9,608.9672897,0,621.5263158,3261.750943,1171.996516,0,3253,0,1,1,2,0,0,5.261340206,14.6
72,72,1.021941545,418,418,5.8,5.8,10.42982107,2.1,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,418,1,1,2,1,1,2,5.261340206,27.8
644,799,1.24,4500,4839,7,7.5,11.7,11,100,500,621.5263158,2700,1200,0,0,0,1,0,1,0,0,2.4,48.1
184,201,1.09,1830,1830,9.9,9.9,8.5,3.6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1830,0,0,0,1,1,0,5.261340206,0
575,610,1.06,950,950,1.7,1.7,63.9,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,950,1,1,1,2,0,1,5.261340206,5.2
13,13,1.021941545,146,146,11.2,11.2,10.42982107,0.8,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,146,0,1,2,2,1,2,5.261340206,0
268,322,1.2,4915,4915,18.3,18.3,10.42982107,17,24,961.5682819,621.5263158,963,1793,1201,0,0,1,0,0,1,0,5.261340206,3.7
41,48,1.16,367,408,9,10,8.2,1,608.9672897,961.5682819,621.5263158,3261.750943,220,372.0342857,147,0,0,1,0,1,1,2,0
39,39,1,823,823,21.1,21.1,6.5,2,88,961.5682819,621.5263158,595,126,372.0342857,14,0,1,1,0,1,0,5.261340206,153.8
160,160,1.021941545,1136,1136,7.1,7.1,10.42982107,7.2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1136,0,1,2,1,1,2,5.261340206,37.5
9,9,1,2947,2947,327.4,327.4,10.42982107,7,104,961.5682819,621.5263158,2351,266,372.0342857,226,0,1,1,1,1,0,5.261340206,1111.1
777,855,1.1,6726,27091,8.7,34.9,1.7,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,6726,0,1,0,1,1,0,5.261340206,0
2521,2824,1.12,57156,57156,22.7,22.7,10.42982107,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,57156,0,1,3,1,1,0,5.261340206,0
158,150,0.95,942,1177,6,7.4,10.42982107,7,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,942,1,0,3,2,0,0,5.261340206,31.6
1018,1018,1,60826,60826,59.8,59.8,10.42982107,20,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,60826,1,1,2,1,1,0,5.261340206,15.7
34,39,1.16,1875,1875,55.1,55.1,0.5,12,608.9672897,199,179,432,312,584,0,0,1,3,1,1,1,1.4,147.1
119,96,0.81,3197,4530,26.9,38.1,10.42982107,8,608.9672897,306,621.5263158,3261.750943,877,372.0342857,0,1,0,0,1,0,1,5.261340206,25.2
34,34,1.021941545,954,1491,28.1,43.9,10.42982107,2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,954,0,0,0,1,1,0,5.261340206,0
208,208,1.021941545,3482,3482,16.7,16.7,3.3,8,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,3482,0,1,2,1,1,0,5.261340206,24
751,751,1,3114,3114,4.1,4.1,0.9,84,37,438,126,1860,372,40,241,1,1,3,1,1,0,7,36
119,126,1.06,2660,2956,22.4,24.8,2.4,10,608.9672897,961.5682819,621.5263158,3261.750943,80,372.0342857,2580,1,0,0,1,1,1,2,8.4
367,356,0.97,740,9309,2,25.4,3.7,5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,740,0,1,0,1,1,0,5.261340206,0
48,58,1.2,1137,1137,23.7,23.7,10.42982107,5,67,56,117,579,238,372.0342857,0,0,1,0,0,1,0,5.261340206,0
3088,3088,1.021941545,4266,4266,1.4,1.4,10.42982107,8,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,4266,0,0,3,1,1,0,5.261340206,2.9
100,82,0.82,440,440,4.4,4.4,33.3,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,440,1,0,0,1,1,1,1,30
1387,1387,1.021941545,7491,11705,5.4,8.4,10.42982107,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,7491,0,0,0,2,1,0,5.261340206,33.9
44,44,1.021941545,317,317,7.2,7.2,10.42982107,1.3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,317,0,1,2,2,1,2,5.261340206,22.7
272,326,1.2,3347,3347,12.3,12.3,10.42982107,13,510,418,94,1128,1025,172,0,0,1,0,0,1,0,5.261340206,3.7
492,492,1.021941545,13912,13912,28.3,28.3,5.8,12.2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,13912,0,1,1,1,0,0,5.261340206,6.1
57,68,1.2,1810,1810,31.8,31.8,10.42982107,7,264,109,80,556,697,104,0,0,1,0,0,1,0,5.261340206,87.7
805,826,1.03,11045,11045,13.7,13.7,8.8,13,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,11045,0,1,0,2,0,1,5.261340206,22.4
235,235,1,5548,5548,23.6,23.6,1.5,16,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,5548,0,0,0,1,0,0,5.261340206,59.6
78,78,1.021941545,484,484,6.2,6.2,10.42982107,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,484,1,1,2,1,1,2,5.261340206,12.8
255,265,1.04,14040,14040,55.1,55.1,1,13,274,2908,621.5263158,4151,1171.996516,1324,5383,0,1,0,1,1,0,5.261340206,0
72,58,0.81,381,423,5.3,5.9,12,2,608.9672897,961.5682819,621.5263158,3261.750943,103,372.0342857,278,0,0,0,1,1,1,1,0
610,610,1.021941545,5329,5329,8.7,8.7,4.8,16,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,5329,2,1,2,2,1,0,5.261340206,24.6
381,339,0.89,5316.463277,1723,15.99293785,4.5,10.42982107,8.957260274,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,0,1,1,2,1,0,5.261340206,2.6
430,430,1.021941545,2891,2891,6.7,6.7,7.8,11,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2891,1,1,2,1,1,0,5.261340206,0
827,827,1,1593,1593,1.9,1.9,20.7,8,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1593,0,1,2,1,0,0,5.261340206,3.6
41,49,1.2,658,658,16,16,10.42982107,6,155,41,23,281,153,5,0,0,1,0,0,1,0,5.261340206,0
494,494,1.021941545,8706,8706,17.6,17.6,1.7,21,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,8706,1,1,3,1,0,0,9.8,0
79,79,1.021941545,388,408,4.9,5.2,10.42982107,3,62,98,58,77,51,42,0,1,1,3,1,1,1,5.261340206,75.9
264,264,1.021941545,1698,2580,6.4,9.8,9.7,3.4,240,378,0,600,360,120,2853.309172,1,1,3,1,1,0,5.261340206,0
103,103,1.021941545,319,319,3.1,3.1,10.42982107,1.8,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,319,1,1,2,1,1,2,5.261340206,29.1
125,130,1.04,770,770,6.2,6.2,10.42982107,6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,770,0,0,0,2,0,0,5.261340206,24
194,194,1.021941545,4080,4080,21,21,4,12,760,544,1032,960,704,80,0,1,1,0,1,0,1,2.7,20.6
88,71,0.81,2570,2570,29.2,29.2,1.6,7,113,146,996,479,218,202,416,0,1,1,1,1,0,5.261340206,56.8
678,678,1.021941545,46461,46787,68.5,69,3.1,14.5,608.9672897,1050,3248,32340,1925,372.0342857,0,1,1,3,1,1,0,5.261340206,14.7
166,186,1.12,1550,1550,9.3,9.3,10.42982107,6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1550,0,1,3,1,1,0,5.261340206,0
17,17,1.021941545,762,762,44.8,44.8,0.5,11,30,140,621.5263158,287,255,50,0,0,1,0,1,1,0,5.261340206,0
264,282,1.07,5316.463277,1658,15.99293785,6.3,10.42982107,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,0,0,0,0,0,1,5.261340206,310.6
2046,2087,1.02,17200,22500,8.4,11,8.7,9,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,17200,1,1,1,2,0,0,5.261340206,73.8
901,901,1,19070,19070,21.2,21.2,3.8,20,790,1510,621.5263158,13320,3130,372.0342857,320,1,1,1,1,1,0,5.261340206,316.3
253,253,1,6232,6924,24.6,27.4,4.5,8,608.9672897,961.5682819,621.5263158,3261.750943,1342,372.0342857,4890,1,0,0,1,1,1,3,11.9
53,49,0.92,512,703,9.7,13.3,6.6,4,608.9672897,961.5682819,621.5263158,461,1171.996516,372.0342857,0,0,0,0,0,1,1,2,0
626,814,1.3,6685,6685,10.7,10.7,10.42982107,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,6685,0,1,3,1,1,0,5.261340206,0
192,192,1.021941545,1589,1640,8.3,8.5,10.42982107,8.957260274,36,961.5682819,708,396,144,3,2853.309172,1,1,2,2,1,0,5.261340206,0
